frame,coverage_ratio
860,55.9322
861,55.9336
862,55.9378
863,55.9433
864,55.9545
865,55.9713
866,55.976
867,55.976
868,55.9766
869,55.9767
870,55.9767
871,55.9767
872,55.9767
873,55.9767
874,55.9767
875,55.9767
876,55.9767
877,55.9767
878,55.9771
879,55.9771
880,55.9812
881,56.0506
882,56.0943
883,56.1386
884,56.1533
885,56.1991
886,56.2812
887,56.3385
888,56.4264
889,56.4692
890,56.4993
891,56.531
892,56.6078
893,56.674
894,56.7148
895,56.7473
896,56.7622
897,56.7913
898,56.8206
899,56.8373
900,56.8629
901,56.8723
902,56.8843
903,56.8953
904,56.9252
905,56.9487
906,56.9889
907,57.0488
908,57.0857
909,57.1469
910,57.2213
911,57.2591
912,57.3404
913,57.3663
914,57.4011
915,57.4068
916,57.4101
917,57.4154
918,57.4164
919,57.4692
920,57.5574
921,57.5609
922,57.5618
923,57.5618
924,57.5618
925,57.5618
926,57.5618
927,57.5618
928,57.5618
929,57.5618
930,57.5618
931,57.5618
932,57.5618
933,57.5618
934,57.5618
935,57.5618
936,57.5618
937,57.5618
938,57.5618
939,57.5618
940,57.5618
941,57.5647
942,57.5752
943,57.5831
944,57.5995
945,57.6029
946,57.6085
947,57.6099
948,57.61
949,57.6102
950,57.6102
951,57.6368
952,57.6724
953,57.7206
954,57.7765
955,57.849
956,57.9377
957,58.0203
958,58.1017
959,58.1792
960,58.2505
961,58.3054
962,58.355
963,58.389
964,58.4143
965,58.4143
966,58.4143
967,58.4143
968,58.4143
969,58.4143
970,58.4143
971,58.4143
972,58.4143
973,58.4143
974,58.4143
975,58.4143
976,58.4143
977,58.4143
978,58.4143
979,58.4143
980,58.4143
981,58.4143
982,58.4143
983,58.4143
984,58.4143
985,58.4144
986,58.4144
987,58.4144
988,58.4145
989,58.4145
990,58.4145
991,58.4145
992,58.4145
993,58.4146
994,58.4146
995,58.4146
996,58.4146
997,58.4146
998,58.4146
999,58.4271
1000,58.4771
1001,58.5368
1002,58.5666
1003,58.607
1004,58.6334
1005,58.666
1006,58.7122
1007,58.754
1008,58.7998
1009,58.8419
1010,58.8772
1011,58.9036
1012,58.9309
1013,58.9478
1014,58.9528
1015,58.9529
1016,58.9529
1017,58.9529
1018,58.953
1019,58.953
1020,58.953
1021,58.953
1022,58.953
1023,58.953
1024,58.953
1025,58.9531
1026,58.9531
1027,58.9531
1028,58.9531
1029,58.9531
1030,58.9531
1031,58.9531
1032,58.9531
1033,58.9531
1034,58.9531
1035,58.9531
1036,58.9565
